Причепа,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/prychepa/
Руфін і Прісцілла,Леся Українка,https://knigogo.com.ua/knigi/rufin-i-pristsilla/
Скорочено Кава з кардамоном,Йоанна Ягелло,https://knigogo.com.ua/knigi/skorocheno-kava-z-kardamonom/
ЛІЛЮЛІ,Микола Хвильовий,https://knigogo.com.ua/knigi/lilyuli/
Тарас Бульба,Микола Гоголь,https://knigogo.com.ua/knigi/taras-bulba/
Три вірша,Леся Українка,https://knigogo.com.ua/knigi/try-virsha/
Valse melancolique (Мела...,Ольга Кобилянська,https://knigogo.com.ua/knigi/valse-melancolique/
По ревізії,Марко Лукич Кропивницький,https://knigogo.com.ua/knigi/po-reviziyi/
Рідне слово,Пантелеймон Куліш,https://knigogo.com.ua/knigi/ridne-slovo/
Три долi,Марко Вовчок,https://knigogo.com.ua/knigi/try-doli/
Лялечка,Михайло Коцюбинський,https://knigogo.com.ua/knigi/lyalechka/
Ледащиця,Марко Вовчок,https://knigogo.com.ua/knigi/ledashhytsya/
З глибини,Михайло Коцюбинський,https://knigogo.com.ua/knigi/z-glybyny/
Наймичка,Тарас Шевченко,https://knigogo.com.ua/knigi/najmychka-shevchenko/
На дні,Іван Франко,https://knigogo.com.ua/knigi/na-dni/
Фах,Айзек Азімов,https://knigogo.com.ua/knigi/fah/
Ілля Муромець і Соловей-...,No author,https://knigogo.com.ua/knigi/illya-muromets-i-solovej-rozbijnyk/
Скорочено Буба: мертвий ...,Барбара Космовська,https://knigogo.com.ua/knigi/skorocheno-buba-mertvyj-sezon/
Попелюшка,Шарль Перро,https://knigogo.com.ua/knigi/popelyushka/
Роковий український ярмарок,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/rokovyj-ukrayinskyj-yarmarok/
Зів’яле листя,Іван Франко,https://knigogo.com.ua/knigi/ziv-yale-lystya/
Поезії поза збірками,Леся Українка,https://knigogo.com.ua/knigi/poeziyi-poza-zbirkamy/
Апокаліпсична картина в ...,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/apokalipsychna-kartyna-v-kyyevi/
Декадент,Іван Франко,https://knigogo.com.ua/knigi/dekadent/
Сторонній,Альбер Камю,https://knigogo.com.ua/knigi/storonnij/
Водограй,Володимир Івасюк,https://knigogo.com.ua/knigi/vodograj/
Підкова,Ірина Жиленко,https://knigogo.com.ua/knigi/pidkova/
Скорочено Тарас Бульба,Микола Гоголь,https://knigogo.com.ua/knigi/skorocheno-taras-bulba/
Скорочено Три товариші,Еріх Марія Ремарк,https://knigogo.com.ua/knigi/skorocheno-try-tovaryshi/
Звук павутинки,Віктор Близнець,https://knigogo.com.ua/knigi/zvuk-pavutynky/
Скорочено Хіба ревуть во...,Панас Мирний,https://knigogo.com.ua/knigi/hiba-revut-voly-skorocheno/
Пісня про віщого Олега,Олександр Пушкін,https://knigogo.com.ua/knigi/pisnya-pro-vishhogo-olega/
Маскарад,Михайло Лермонтов,https://knigogo.com.ua/knigi/maskarad/
Дитинство,Лев Толстой,https://knigogo.com.ua/knigi/dytynstvo/
Телефон,Корній Чуковський,https://knigogo.com.ua/knigi/telefon/
Лист матері,Сергій Єсенін,https://knigogo.com.ua/knigi/lyst-materi/
Скорочено Руслан і Людмила,Олександр Пушкін,https://knigogo.com.ua/knigi/skorocheno-ruslan-i-lyudmyla/
Герострат,Володимир Самійленко,https://knigogo.com.ua/knigi/gerostrat/
Анчар,Олександр Пушкін,https://knigogo.com.ua/knigi/anchar/
"До побачення, хлопчики",Булат Окуджава,https://knigogo.com.ua/knigi/do-pobachennya-hlopchyky/
